iteration [];theta [°];theta [rad];Couple [Nm];omega [rad/s]
1;0.000000;0.000000;-0.011851;1.000000
2;0.252530;0.004407;-0.000774;0.881494
3;0.502843;0.008776;-0.000400;0.873759
4;0.752011;0.013125;0.000047;0.869761
5;1.001314;0.017476;0.000430;0.870232
6;1.251850;0.021849;0.000818;0.874536
7;1.504730;0.026262;0.001215;0.882718
8;1.761092;0.030737;0.001625;0.894869
9;2.022108;0.035292;0.002302;0.911118
10;2.289719;0.039963;0.002736;0.934141
11;2.565169;0.044771;0.003183;0.961503
12;2.849738;0.049737;0.003641;0.993333
13;3.144739;0.054886;0.005385;1.029746
14;3.455165;0.060304;0.006082;1.083593
15;3.783015;0.066026;0.006807;1.144409
16;4.130366;0.072088;0.007554;1.212484
17;4.499357;0.078529;0.009709;1.288023
18;4.896163;0.085454;0.010768;1.385115
19;5.323817;0.092918;0.011880;1.492795
20;5.785505;0.100976;0.012256;1.611594
21;6.282302;0.109647;0.013340;1.734150
22;6.817316;0.118985;0.014410;1.867551
23;7.393611;0.129043;0.015750;2.011648
24;8.015025;0.139889;0.016675;2.169145
25;8.684208;0.151568;0.017637;2.335891
26;9.403918;0.164129;0.018424;2.512261
27;10.176410;0.177612;0.018647;2.696505
28;11.002320;0.192027;0.020133;2.882971
29;11.885908;0.207448;0.022501;3.084302
30;12.833955;0.223995;0.023217;3.309309
31;13.848516;0.241702;0.023057;3.541484
32;14.929130;0.260562;0.024891;3.772055
33;16.081052;0.280667;0.027194;4.020968
34;17.310881;0.302132;0.027859;4.292912
35;18.620519;0.324989;0.027899;4.571501
36;20.010082;0.349242;0.027732;4.850490
37;21.479091;0.374881;0.028771;5.127808
38;23.030524;0.401958;0.031728;5.415521
39;24.672849;0.430622;0.029878;5.732797
40;26.400767;0.460780;0.033384;6.031572
41;28.224325;0.492607;0.031829;6.365416
42;30.139064;0.526026;-0.001630;6.683702
43;32.049136;0.559363;0.001638;6.667407
44;33.963901;0.592782;0.006459;6.683791
45;35.897170;0.626524;0.011785;6.748383
46;37.864202;0.660855;0.016010;6.866235
47;39.877098;0.695987;0.018408;7.026333
48;41.942729;0.732039;0.022497;7.210415
49;44.072810;0.769216;0.023090;7.435384
50;46.269039;0.807547;0.027788;7.666286
51;48.544874;0.847268;0.028859;7.944162
52;50.903382;0.888432;0.029630;8.232747
53;53.346774;0.931077;0.031858;8.529046
54;55.881432;0.975315;0.035359;8.847624
55;58.517386;1.021321;0.034051;9.201217
56;61.250888;1.069030;0.000818;9.541722
57;63.986735;1.116779;0.007249;9.549905
58;66.743349;1.164891;0.014271;9.622399
59;69.540847;1.213717;0.018479;9.765109
60;72.391283;1.263466;0.022940;9.949900
