iteration [];theta [°];theta [rad];Couple [Nm];omega [rad/s]
1;0.000000;0.000000;-0.044461;1.000000
2;0.159106;0.002777;0.001351;0.555386
3;0.322083;0.005621;0.002618;0.568895
4;0.492558;0.008597;0.006619;0.595071
5;0.681994;0.011903;0.007824;0.661256
6;0.893845;0.015601;0.010597;0.739499
7;1.136053;0.019828;0.013450;0.845467
8;1.416793;0.024728;0.015996;0.979969
9;1.743358;0.030427;0.018024;1.139927
10;2.121558;0.037028;0.019682;1.320167
11;2.556144;0.044613;0.021640;1.516991
12;3.052725;0.053280;0.023545;1.733396
13;3.616758;0.063124;0.025761;1.968845
14;4.254590;0.074257;0.027284;2.226455
15;4.970587;0.086753;0.028945;2.499300
16;5.769507;0.100697;0.029829;2.788755
17;6.653880;0.116132;0.031050;3.087045
18;7.627205;0.133120;0.031420;3.397547
19;8.690543;0.151679;0.031172;3.711749
20;9.843181;0.171796;0.031159;4.023465
21;11.085084;0.193471;0.030936;4.335059
22;12.415613;0.216693;0.030612;4.644422
23;13.833839;0.241446;0.030382;4.950544
24;15.339104;0.267718;0.030294;5.254367
25;16.931154;0.295504;0.030732;5.557303
26;18.611244;0.324827;0.032001;5.864619
27;20.383011;0.355751;0.034766;6.184633
28;22.254374;0.388412;0.040420;6.532290
29;24.241532;0.423095;0.050184;6.936489
30;26.372455;0.460286;0.069821;7.438327
31;28.703401;0.500969;0.104340;8.136536
32;31.333260;0.546869;0.015317;9.179938
33;34.006999;0.593534;0.026744;9.333109
34;36.757352;0.641537;0.030855;9.600544
35;39.596097;0.691082;0.031276;9.909090
36;42.524441;0.742192;0.030568;10.221850
37;45.540356;0.794829;0.030273;10.527527
38;48.642996;0.848980;0.032028;10.830258
39;51.837391;0.904733;0.038711;11.150542
40;55.142685;0.962421;0.057375;11.537653
41;58.612347;1.022978;0.103283;12.111405
42;62.377893;1.088700;0.021042;13.144237
43;66.203722;1.155473;0.030647;13.354662
44;70.117347;1.223779;0.030993;13.661128
45;74.119761;1.293634;0.030236;13.971060
46;78.208794;1.365001;0.031707;14.273416
47;82.388660;1.437953;0.040929;14.590485
48;86.685779;1.512952;0.073670;14.999777
49;91.193948;1.591635;0.014034;15.736477
50;95.742322;1.671019;0.029813;15.876819
51;100.376103;1.751893;0.030891;16.174949
52;105.098381;1.834313;0.030311;16.483859
53;109.907493;1.918248;0.033951;16.786968
54;114.813867;2.003880;0.054588;17.126476
55;119.876624;2.092242;0.127401;17.672356
56;125.304358;2.186974;0.029408;18.946365
57;130.816339;2.283176;0.031057;19.240443
58;136.417290;2.380931;0.030641;19.551009
59;142.106023;2.480218;0.039890;19.857423
60;147.909031;2.581500;0.092450;20.256319
61;153.976888;2.687404;0.026639;21.180817
62;160.121060;2.794640;0.030991;21.447206
63;166.354014;2.903425;0.030590;21.757116
64;172.674602;3.013740;0.041944;22.063015
65;179.115352;3.126153;0.114043;22.482457
66;185.882811;3.244267;0.029916;23.622888
67;192.735971;3.363877;0.030451;23.922043
68;199.676369;3.485010;0.033622;24.226557
69;206.713087;3.607824;0.073965;24.562779
70;213.961699;3.734336;0.026634;25.302432
71;221.286613;3.862180;0.030824;25.568771
72;228.699830;3.991565;0.032067;25.877010
73;236.204912;4.122553;0.068388;26.197679
74;243.905912;4.256961;0.026466;26.881562
75;251.682733;4.392692;0.030570;27.146225
76;259.547131;4.529952;0.033482;27.451927
77;267.507448;4.668886;0.083029;27.786748
78;275.705624;4.811971;0.029784;28.617033
79;283.989126;4.956545;0.030295;28.914878
80;292.359417;5.102634;0.040834;29.217830
81;300.846688;5.250765;0.009988;29.626165
82;309.362572;5.399395;0.031353;29.726041
83;317.968276;5.549593;0.031537;30.039573
84;326.664325;5.701368;0.073838;30.354938
85;335.571906;5.856835;0.029648;31.093323
86;344.564421;6.013784;0.030060;31.389799
87;353.643052;6.172236;0.046855;31.690401
88;2.855914;0.049845;0.022833;32.158956
89;12.134188;0.211782;0.030705;32.387284
90;21.500425;0.375253;0.037621;32.694336
91;30.974438;0.540606;0.011692;33.070544
92;40.481946;0.706543;0.031266;33.187464
93;50.079024;0.874044;0.034195;33.500120
94;59.774062;1.043254;0.126092;33.842068
95;69.830327;1.218769;0.031157;35.102986
96;79.975851;1.395842;0.034042;35.414560
97;90.218899;1.574617;0.001832;35.754982
98;100.467195;1.753483;0.031282;35.773304
99;110.805109;1.933914;0.036006;36.086127
100;121.246174;2.116145;0.014537;36.446191
101;131.728885;2.299103;0.030551;36.591565
102;142.299117;2.483588;0.040589;36.897070
103;152.985628;2.670103;0.023277;37.302961
104;163.738823;2.857782;0.030375;37.535730
105;174.579035;3.046979;0.052079;37.839481
106;185.568445;3.238780;0.029667;38.360274
107;196.642845;3.432065;0.030684;38.656948
108;207.805148;3.626884;0.090532;38.963788
109;219.226807;3.826230;0.031392;39.869112
110;230.738398;4.027145;0.035865;40.183032
111;242.352735;4.229853;0.020656;40.541685
112;254.026247;4.433594;0.030274;40.748244
113;265.786488;4.638849;0.062637;41.050986
114;277.726170;4.847236;0.031393;41.677353
115;289.755788;5.057193;0.033737;41.991287
116;301.882054;5.268836;0.019354;42.328654
117;314.063765;5.481447;0.030266;42.522194
118;326.332182;5.695571;0.069370;42.824853
119;338.799328;5.913164;0.031120;43.518549
120;351.355627;6.132313;0.037277;43.829751
121;4.018716;0.070140;0.026770;44.202519
122;16.758496;0.292491;0.030684;44.470223
123;29.586178;0.516376;0.123112;44.777059
124;42.766551;0.746417;0.030438;46.008182
125;56.034124;0.977980;0.064663;46.312564
126;69.486942;1.212776;0.031339;46.959196
127;83.029542;1.449139;0.043267;47.272590
128;96.696092;1.687665;0.030816;47.705260
129;110.450924;1.927732;0.035125;48.013420
130;124.306380;2.169556;0.027390;48.364667
131;138.240303;2.412748;0.031740;48.638567
132;152.265155;2.657528;0.020295;48.955968
133;166.348147;2.903323;0.030587;49.158915
134;180.518763;3.150647;0.005795;49.464781
135;194.705979;3.398260;0.030210;49.522727
136;208.979740;3.647385;0.107696;49.824826
137;223.562028;3.901893;0.030423;50.901788
138;238.231473;4.157924;0.097644;51.206021
139;253.180648;4.418836;0.030203;52.182464
140;268.216349;4.681258;0.097349;52.484499
141;283.530934;4.948548;0.030485;53.457985
142;298.932851;5.217362;0.106635;53.762833
143;314.640254;5.491508;0.030047;54.829181
144;330.433736;5.767157;0.004194;55.129651
145;346.239234;6.043015;0.030531;55.171596
146;2.132198;0.037214;0.019730;55.476909
147;18.081684;0.315585;0.031873;55.674210
148;34.122479;0.595550;0.027009;55.992936
149;50.240649;0.876865;0.034423;56.263029
150;66.457434;1.159901;0.030693;56.607260
151;82.762148;1.444472;0.042272;56.914186
152;99.187961;1.731156;0.031470;57.336905
153;115.703928;2.019415;0.061963;57.651601
154;132.397405;2.310771;0.030659;58.271228
155;149.178714;2.603660;0.115384;58.577818
156;166.290575;2.902318;0.030556;59.731661
157;183.489971;3.202504;0.025364;60.037219
158;200.762028;3.503958;0.035920;60.290855
159;218.136991;3.807209;0.031333;60.650060
160;235.601715;4.112026;0.061160;60.963389
161;253.241651;4.419901;0.030245;61.574993
162;270.968233;4.729288;0.011615;61.877443
163;288.728090;5.039256;0.032080;61.993597
164;306.579852;5.350828;0.030817;62.314402
165;324.519897;5.663941;0.051773;62.622574
166;342.608263;5.979642;0.030513;63.140307
167;0.784041;0.013684;0.009157;63.445433
168;18.986051;0.331369;0.032497;63.537004
169;37.281158;0.650679;0.030917;63.861971
170;55.664835;0.971535;0.061685;64.171138
171;74.225226;1.295475;0.030191;64.787988
172;92.872109;1.620924;0.022897;65.089901
173;111.584587;1.947518;0.037819;65.318867
174;130.405407;2.276004;0.031075;65.697058
175;149.315253;2.606043;0.118236;66.007812
176;168.563819;2.941994;0.031966;67.190173
177;187.903960;3.279543;0.031340;67.509829
178;207.333885;3.618659;0.081209;67.823231
179;226.996455;3.961836;0.030746;68.635318
180;246.747107;4.306549;0.030831;68.942783
181;266.586085;4.652805;0.072538;69.251094
182;286.632867;5.002687;0.030679;69.976472
183;306.767538;5.354104;0.030835;70.283260
184;326.990545;5.707062;0.077403;70.591612
185;347.435295;6.063890;0.030866;71.365642
186;7.968469;0.139076;0.031359;71.674298
187;28.591481;0.499015;0.102983;71.987892
188;49.509517;0.864104;0.033670;73.017720
189;70.524012;1.230876;0.031161;73.354424
190;91.627775;1.599206;0.017409;73.666030
191;112.781411;1.968407;0.042347;73.840118
192;134.056362;2.339725;0.030268;74.263590
193;155.418026;2.712556;0.029486;74.566274
194;176.864163;3.086862;0.075815;74.861138
195;198.527492;3.464958;0.031944;75.619287
196;220.282336;3.844652;0.030913;75.938731
197;242.125741;4.225891;0.019674;76.247866
198;264.025507;4.608114;0.048950;76.444603
199;286.065504;4.992785;0.030213;76.934106
200;308.192055;5.378966;0.031330;77.236232
201;330.408359;5.766714;0.003593;77.549532
202;352.634957;6.154641;0.041796;77.585461
203;14.981291;0.261473;0.030374;78.003421
204;37.414640;0.653009;0.030913;78.307163
205;59.936549;1.046090;0.128045;78.616290
206;82.825278;1.445574;0.042507;79.896738
207;105.835782;1.847183;0.030210;80.321812
208;128.932832;2.250302;0.031111;80.623915
209;152.119010;2.654978;0.019643;80.935030
210;175.361463;3.060635;0.059080;81.131464
211;198.773168;3.469246;0.032113;81.722268
212;222.276871;3.879463;0.030674;82.043401
213;245.868448;4.291214;0.029885;82.350137
214;269.545638;4.704459;0.122457;82.648985
215;293.573642;5.123827;0.046459;83.873555
216;317.734741;5.545517;0.031362;84.338147
217;341.985687;5.968776;0.030782;84.651770
218;6.324818;0.110389;0.030638;84.959594
219;30.751720;0.536719;0.008734;85.265973
220;55.203641;0.963485;0.057867;85.353309
221;79.821339;1.393145;0.033830;85.931976
222;104.535953;1.824497;0.030076;86.270276
223;129.336726;2.257352;0.031354;86.571032
224;154.227323;2.691775;0.027200;86.884572
225;179.195841;3.127557;0.115709;87.156570
226;204.495841;3.569126;0.051608;88.313662
227;229.943688;4.013274;0.034008;88.829744
228;255.488961;4.459124;0.030276;89.169823
229;281.120968;4.906486;0.030913;89.472584
230;306.841536;5.355395;0.030855;89.781718
231;332.650497;5.805846;0.021998;90.090272
232;358.522479;6.257398;0.102060;90.310251
233;24.686839;0.430867;0.053033;91.330847
234;51.003128;0.890173;0.036451;91.861180
235;77.423842;1.351301;0.030850;92.225687
236;103.932934;1.813972;0.030311;92.534189
237;130.528860;2.278158;0.031171;92.837297
238;157.214086;2.743903;0.030896;93.149009
239;183.987822;3.211193;0.026696;93.457969
240;210.838036;3.679818;0.009873;93.724930
241;237.716534;4.148936;0.089010;93.823655
242;264.850027;4.622505;0.054869;94.713759
243;292.140708;5.098817;0.040009;95.262446
244;319.546005;5.577130;0.033490;95.662533
245;347.047243;6.057117;0.030749;95.997433
246;14.636570;0.255456;0.030045;96.304918
247;42.311970;0.738483;0.030665;96.605368
248;70.075219;1.223043;0.031019;96.912022
249;97.927332;1.709154;0.031347;97.222214
250;125.869248;2.196833;0.029908;97.535688
251;153.896844;2.686007;0.026453;97.834768
252;182.000222;3.176503;0.019137;98.099295
253;210.158423;3.667956;0.001346;98.290661
254;238.320480;4.159477;0.099084;98.304126
255;266.766392;4.655952;0.074607;99.294964
256;295.426036;5.156157;0.059632;100.041030
257;324.256512;5.659344;0.050296;100.637347
258;353.231076;6.165045;0.044224;101.140306
259;22.332332;0.389773;0.040705;101.582548
260;51.550199;0.899721;0.037747;101.989596
261;80.876205;1.411556;0.036157;102.367070
262;110.305792;1.925199;0.034567;102.728638
263;139.834406;2.440571;0.033858;103.074308
264;169.460017;2.957635;0.033326;103.412893
265;199.181101;3.476366;0.032930;103.746151
266;228.996521;3.996743;0.032519;104.075451
267;258.905102;4.518746;0.032275;104.400644
268;288.906145;5.042363;0.032282;104.723395
269;318.999668;5.567595;0.032692;105.046211
270;349.186846;6.094460;0.032935;105.373130
271;19.468376;0.339787;0.033342;105.702481
272;49.845425;0.869967;0.033874;106.035904
273;80.319516;1.401840;0.034599;106.374645
274;110.892726;1.935443;0.036203;106.720635
275;141.569650;2.470857;0.037793;107.082664
276;172.354844;3.008160;0.040812;107.460599
277;203.256957;3.547503;0.044403;107.868723
278;234.286275;4.089067;0.050464;108.312753
279;265.460162;4.633154;0.059919;108.817396
280;296.805705;5.180237;0.075098;109.416584
281;328.366387;5.731075;0.099804;110.167565
282;0.212986;0.003717;0.001786;111.165602
283;32.064701;0.559635;0.019428;111.183458
284;63.972072;1.116523;0.026628;111.377738
285;95.955729;1.674743;0.029962;111.644022
286;128.025220;2.234462;0.031376;111.943641
287;160.184596;2.795749;0.030962;112.257402
288;192.432671;3.358584;0.030600;112.567018
289;224.768408;3.922949;0.030429;112.873014
290;257.191318;4.488835;0.030775;113.177308
291;289.702391;5.056261;0.033660;113.485054
292;322.309893;5.625369;0.040630;113.821652
293;355.033790;6.196509;0.056392;114.227949
294;27.919239;0.487283;0.092595;114.791873
295;61.069953;1.065872;0.012735;115.717822
296;94.257150;1.645098;0.027290;115.845174
297;127.522527;2.225688;0.030953;116.118070
298;160.876577;2.807826;0.031035;116.427596
299;194.319536;3.391516;0.030153;116.737949
300;227.848876;3.976713;0.031479;117.039478
301;261.468398;4.563484;0.037543;117.354271
302;295.195472;5.152133;0.057723;117.729696
303;329.087911;5.743668;0.113640;118.306930
304;3.305905;0.057699;0.025154;119.443331
305;37.595959;0.656173;0.031437;119.694868
306;71.976072;1.256219;0.030781;120.009234
307;106.444366;1.857805;0.030638;120.317046
308;141.000432;2.460922;0.036454;120.623426
309;175.660932;3.065862;0.061606;120.987967
310;210.497919;3.673882;0.005660;121.604027
311;245.351120;4.282185;0.029414;121.660622
312;280.288586;4.891959;0.030908;121.954760
313;315.314596;5.503278;0.030299;122.263841
314;350.427405;6.116112;0.035092;122.566827
315;25.640747;0.447515;0.061452;122.917750
316;61.030136;1.065177;0.012304;123.532273
317;96.454773;1.683453;0.030709;123.655310
318;131.967383;2.303265;0.030791;123.962396
319;167.568205;2.924617;0.031081;124.270311
320;203.258066;3.547522;0.044408;124.581116
321;239.075146;4.172648;0.113373;125.025196
322;275.217018;4.803443;0.029363;126.158930
323;311.443008;5.435706;0.030725;126.452560
324;347.757019;6.069505;0.031375;126.759812
325;24.160913;0.421687;0.049726;127.073564
326;60.707261;1.059542;0.008140;127.570820
327;97.276927;1.697803;0.030915;127.652215
328;133.935158;2.337609;0.030313;127.961367
329;170.680230;2.978932;0.035706;128.264499
330;207.527594;3.622040;0.083454;128.621562
331;244.614035;4.269320;0.027921;129.456102
332;281.780464;4.917997;0.030526;129.735310
333;319.034344;5.568200;0.032714;130.040573
334;356.381943;6.220038;0.069935;130.367714
335;33.929892;0.592188;0.026555;131.067066
336;71.553916;1.248851;0.030641;131.332620
337;109.265720;1.907047;0.033067;131.639030
338;147.072253;2.566895;0.078375;131.969696
339;185.103314;3.230662;0.029183;132.753446
340;223.217977;3.895889;0.030216;133.045272
341;261.419203;4.562626;0.037427;133.347435
342;299.727649;5.231234;0.125414;133.721703
343;338.395380;5.906114;0.031263;134.975844
344;17.152674;0.299371;0.030772;135.288478
345;55.998124;0.977352;0.064366;135.596199
346;95.027968;1.658551;0.029050;136.239857
347;134.141035;2.341203;0.030235;136.530359
348;173.340720;3.025366;0.045466;136.832714
349;212.670655;3.711803;0.022111;137.287372
350;252.063933;4.399346;0.030790;137.508482
351;291.545417;5.088427;0.037727;137.816378
352;331.134980;5.779396;0.013418;138.193644
353;10.762984;0.187850;0.031065;138.327828
354;50.479981;0.881042;0.035417;138.638475
355;90.298442;1.576005;0.002440;138.992648
356;130.123892;2.271090;0.030999;139.017047
357;170.038149;2.967726;0.034128;139.327041
358;210.050176;3.666067;0.000407;139.668322
359;250.063369;4.364429;0.031027;139.672393
360;290.165447;5.064342;0.034308;139.982659
361;330.365809;5.765971;0.002973;140.325734
362;10.574687;0.184563;0.031171;140.355463
363;50.872865;0.887899;0.036160;140.667176
364;91.274632;1.593043;0.014799;141.028771
365;131.718793;2.298927;0.030557;141.176757
366;172.250494;3.006338;0.040402;141.482327
367;212.897938;3.715770;0.022982;141.886346
368;253.611220;4.426351;0.030392;142.116162
369;294.411567;5.138451;0.051138;142.420079
370;335.358415;5.853109;0.029417;142.931464
371;16.389538;0.286051;0.030616;143.225638
372;57.508368;1.003710;0.083090;143.531795
373;98.865233;1.725524;0.031103;144.362690
374;140.311200;2.448892;0.034596;144.673717
375;181.856277;3.173991;0.019303;145.019678
376;223.456655;3.900054;0.030473;145.212712
377;265.144331;4.627642;0.057348;145.517440
378;306.996297;5.358096;0.030896;146.090921
379;348.936773;6.090096;0.032316;146.399881
380;30.969827;0.540525;0.011636;146.723036
381;73.036216;1.274722;0.030275;146.839397
382;115.189335;2.010433;0.057671;147.142145
383;157.507670;2.749027;0.030935;147.718855
384;199.914627;3.489168;0.033961;148.028205
385;242.418875;4.231008;0.021052;148.367814
386;284.983432;4.973899;0.030374;148.578332
387;327.635004;5.718310;0.088445;148.882074
