iteration;Couple;omega
1;-0.038487;1.000000
2;0.007415;0.615129
3;0.008716;0.689283
4;0.013790;0.776440
5;0.019430;0.914336
6;0.024809;1.108634
7;0.027909;1.356721
8;0.027309;1.635807
9;0.027414;1.908899
10;0.037042;2.183038
11;0.041098;2.553454
12;0.039835;2.964437
13;0.040454;3.362789
14;0.040646;3.767325
15;0.037500;4.173783
16;0.038049;4.548779
17;0.035414;4.929269
18;0.034792;5.283409
19;0.032483;5.631332
20;0.031846;5.956163
21;0.031280;6.274623
22;0.031526;6.587419
23;0.035083;6.902683
24;0.039970;7.253511
25;0.052426;7.653210
26;0.075871;8.177473
27;0.009525;8.936179
28;0.035944;9.031432
29;0.040407;9.390868
30;0.038716;9.794942
31;0.035576;10.182100
32;0.032695;10.537864
33;0.031300;10.864812
34;0.033513;11.177813
35;0.043349;11.512941
36;0.071566;11.946431
37;0.023567;12.662086
38;0.039830;12.897758
39;0.038459;13.296061
40;0.034507;13.680651
41;0.030860;14.025719
42;0.033378;14.334318
43;0.047341;14.668100
44;0.088514;15.141509
45;0.040475;16.026650
46;0.039804;16.431397
47;0.033241;16.829435
48;0.031384;17.161844
49;0.039693;17.475683
50;0.083613;17.872616
51;0.040138;18.708743
52;0.038109;19.110121
53;0.032423;19.491213
54;0.033150;19.815441
55;0.056258;20.146941
56;0.026804;20.709525
57;0.037098;20.977565
58;0.033580;21.348545
59;0.033176;21.684341
60;0.060996;22.016106
61;0.037371;22.626061
62;0.037411;22.999769
63;0.030852;23.373879
64;0.040042;23.682404
65;0.006897;24.082820
66;0.040204;24.151788
67;0.033744;24.553829
68;0.035041;24.891271
69;0.085149;25.241677
70;0.040438;26.093163
71;0.032656;26.497545
72;0.034990;26.824106
73;0.088251;27.174009
74;0.040280;28.056520
75;0.032130;28.459316
76;0.040636;28.780620
77;0.027861;29.186984
78;0.036547;29.465593
79;0.031627;29.831068
80;0.071979;30.147334
81;0.040645;30.867126
82;0.032077;31.273576
83;0.046380;31.594346
84;0.039218;32.058147
85;0.034178;32.450325
86;0.036299;32.792104
87;0.028146;33.155090
88;0.036457;33.436553
89;0.034006;33.801125
90;0.017732;34.141185
91;0.035727;34.318501
92;0.033257;34.675767
93;0.013217;35.008333
94;0.035662;35.140499
95;0.033550;35.497124
96;0.023293;35.832621
97;0.035579;36.065548
98;0.035582;36.421333
99;0.025553;36.777153
100;0.033815;37.032683
101;0.041160;37.370831
102;0.041015;37.782429
103;0.031869;38.192582
104;0.057910;38.511273
105;0.038671;39.090378
106;0.031552;39.477090
107;0.009198;39.792610
108;0.035036;39.884587
109;0.040075;40.234949
110;0.038684;40.635695
111;0.031067;41.022535
112;0.085439;41.333209
113;0.035609;42.187599
114;0.039568;42.543689
115;0.037616;42.939368
116;0.031280;43.315527
117;0.004723;43.628323
118;0.034405;43.675552
119;0.049050;44.019607
120;0.037787;44.510104
121;0.033573;44.887970
122;0.040383;45.223705
123;0.032456;45.627537
124;0.111664;45.952099
125;0.032887;47.068740
126;0.068417;47.397608
127;0.035247;48.081781
128;0.046701;48.434254
129;0.038400;48.901268
130;0.039441;49.285272
131;0.040426;49.679685
132;0.035188;50.083944
133;0.040508;50.435825
134;0.033135;50.840907
135;0.038077;51.172261
136;0.033303;51.553030
137;0.040197;51.886064
138;0.033409;52.288035
139;0.039922;52.622127
140;0.033615;53.021344
141;0.037044;53.357491
142;0.033377;53.727936
143;0.040531;54.061707
144;0.035463;54.467015
145;0.039519;54.821649
146;0.039801;55.216837
147;0.038081;55.614846
148;0.049253;55.995653
149;0.035553;56.488178
150;0.074107;56.843711
151;0.033757;57.584783
152;0.017927;57.922348
153;0.031262;58.101618
154;0.041536;58.414233
155;0.034025;58.829592
156;0.037682;59.169846
157;0.048279;59.546663
158;0.034809;60.029453
159;0.088410;60.377544
160;0.032260;61.261648
161;0.040210;61.584246
162;0.037041;61.986348
163;0.036485;62.356755
164;0.083123;62.721609
165;0.030873;63.552838
166;0.039742;63.861569
167;0.039686;64.258989
168;0.035078;64.655851
169;0.008483;65.006635
170;0.031512;65.091464
171;0.038467;65.406589
172;0.058530;65.791264
173;0.031782;66.376564
174;0.040200;66.694383
175;0.042623;67.096384
176;0.033299;67.522612
177;0.033920;67.855603
178;0.036344;68.194806
179;0.035007;68.558250
180;0.028067;68.908323
181;0.035329;69.188991
182;0.036542;69.542279
183;0.027152;69.907700
184;0.035371;70.179218
185;0.035116;70.532925
186;0.027330;70.884088
187;0.036724;71.157392
188;0.034013;71.524627
189;0.038863;71.864755
190;0.045278;72.253385
191;0.032261;72.706169
192;0.040469;73.028783
193;0.067447;73.433477
194;0.031418;74.107945
195;0.037930;74.422126
196;0.021292;74.801421
197;0.036948;75.014337
198;0.034449;75.383819
199;0.040437;75.728304
200;0.072376;76.132670
201;0.031786;76.856429
202;0.035199;77.174286
203;0.040911;77.526275
204;0.056234;77.935381
205;0.031576;78.497722
206;0.036419;78.813480
207;0.041150;79.177674
208;0.060002;79.589179
209;0.033693;80.189201
210;0.034140;80.526127
211;0.040333;80.867530
212;0.088663;81.270864
213;0.039247;82.157492
214;0.030949;82.549965
215;0.036839;82.859459
216;0.041296;83.227851
217;0.077327;83.640807
218;0.036153;84.414077
219;0.030914;84.775607
220;0.035238;85.084748
221;0.036784;85.437128
222;0.109086;85.804972
223;0.047013;86.895831
224;0.033131;87.365961
225;0.032339;87.697267
226;0.036932;88.020661
227;0.039026;88.389981
228;0.020156;88.780245
229;0.057357;88.981802
230;0.035912;89.555373
231;0.031307;89.914496
232;0.032623;90.227567
233;0.037848;90.553800
234;0.040387;90.932281
235;0.028042;91.336148
