iteration;Couple;omega
1;-0.011851;1.000000
2;-0.000774;0.881494
3;-0.000400;0.873759
4;0.000047;0.869761
5;0.000430;0.870232
6;0.000818;0.874536
7;0.001215;0.882718
8;0.001625;0.894869
9;0.002302;0.911118
10;0.002736;0.934141
11;0.003183;0.961503
12;0.003641;0.993333
13;0.005385;1.029746
14;0.006082;1.083593
15;0.006807;1.144409
16;0.007554;1.212484
17;0.009709;1.288023
18;0.010768;1.385115
19;0.011880;1.492795
20;0.012256;1.611594
21;0.013340;1.734150
22;0.014410;1.867551
23;0.015750;2.011648
24;0.016675;2.169145
25;0.017637;2.335891
26;0.018424;2.512261
27;0.018647;2.696505
28;0.020133;2.882971
29;0.022501;3.084302
30;0.023217;3.309309
31;0.023057;3.541484
32;0.024891;3.772055
33;0.027194;4.020968
34;0.027859;4.292912
35;0.027899;4.571501
36;0.027732;4.850490
37;0.028771;5.127808
38;0.031728;5.415521
39;0.029878;5.732797
40;0.033384;6.031572
41;0.031829;6.365416
42;-0.001630;6.683702
43;0.001638;6.667407
44;0.006459;6.683791
45;0.011785;6.748383
46;0.016010;6.866235
47;0.018408;7.026333
48;0.022497;7.210415
49;0.023090;7.435384
50;0.027788;7.666286
51;0.028859;7.944162
52;0.029630;8.232747
53;0.031858;8.529046
54;0.035359;8.847624
55;0.034051;9.201217
56;0.000818;9.541722
57;0.007249;9.549905
58;0.014271;9.622399
59;0.018479;9.765109
60;0.022940;9.949900
61;0.025143;10.179300
62;0.028030;10.430728
63;0.028799;10.711031
64;0.029979;10.999017
65;0.032479;11.298810
66;-0.000268;11.623598
67;0.008690;11.620919
68;0.015841;11.707817
69;0.019674;11.866228
70;0.024712;12.062969
71;0.028912;12.310087
72;0.029325;12.599205
73;0.031306;12.892458
74;0.032699;13.205522
75;0.004060;13.532512
76;0.015029;13.573112
77;0.020102;13.723406
78;0.024896;13.924428
79;0.027712;14.173386
80;0.031663;14.450510
81;0.032638;14.767137
82;0.000691;15.093520
83;0.012010;15.100433
