iteration;Couple;omega
1;-0.027799;1.000000
2;0.000299;0.722015
3;0.000967;0.725002
4;0.001519;0.734667
5;0.002016;0.749860
6;0.002465;0.770019
7;0.002927;0.794669
8;0.003483;0.823936
9;0.004100;0.858762
10;0.007958;0.899762
11;0.021499;0.979338
12;0.025970;1.194331
13;0.029347;1.454033
14;0.035892;1.747508
15;0.045432;2.106433
16;0.054465;2.560754
17;0.052071;3.105403
18;0.037595;3.626112
19;0.048598;4.002066
20;0.048505;4.488049
21;0.048559;4.973104
22;0.036064;5.458691
23;0.036834;5.819329
24;0.032549;6.187670
25;0.027898;6.513155
26;0.028018;6.792139
27;0.030205;7.072319
28;0.033035;7.374367
29;0.041403;7.704717
30;0.061242;8.118744
31;0.001661;8.731164
32;0.031026;8.747772
33;0.052270;9.058037
34;0.046622;9.580741
35;0.044116;10.046958
36;0.035938;10.488120
37;0.027973;10.847499
38;0.027925;11.127234
39;0.041126;11.406481
40;0.057689;11.817741
41;0.002159;12.394632
42;0.049781;12.416217
43;0.047124;12.914027
44;0.038294;13.385272
45;0.031768;13.768209
46;0.027872;14.085889
47;0.041871;14.364605
48;0.062463;14.783312
49;0.027229;15.407944
50;0.033303;15.680233
51;0.039982;16.013263
52;0.029972;16.413078
53;0.028914;16.712795
54;0.042819;17.001936
55;0.002684;17.430126
56;0.047243;17.456971
57;0.044848;17.929400
58;0.029816;18.377876
59;0.030059;18.676040
60;0.057522;18.976631
61;0.029563;19.551847
62;0.046856;19.847478
63;0.035763;20.316039
64;0.027861;20.673667
65;0.044824;20.952274
66;0.025150;21.400513
67;0.047054;21.652009
68;0.034348;22.122545
69;0.030166;22.466026
70;0.060168;22.767684
71;0.052874;23.369368
72;0.042483;23.898107
73;0.034999;24.322934
74;0.040300;24.672926
75;0.027882;25.075927
76;0.049750;25.354751
77;0.027982;25.852247
78;0.037847;26.132068
79;0.025305;26.510537
80;0.049685;26.763588
81;0.027906;27.260434
82;0.041603;27.539494
83;0.041314;27.955526
84;0.037950;28.368661
85;0.027951;28.748162
86;0.064833;29.027670
87;0.034808;29.675999
88;0.032537;30.024081
89;0.040643;30.349450
90;0.031225;30.755883
91;0.037389;31.068133
92;0.028554;31.442025
93;0.000274;31.727569
94;0.048587;31.730312
95;0.034943;32.216180
96;0.059787;32.565610
97;0.033110;33.163475
98;0.029200;33.494579
99;0.046257;33.786575
100;0.043399;34.249143
101;0.030739;34.683132
102;0.044824;34.990522
103;0.041730;35.438761
104;0.029542;35.856057
105;0.056564;36.151476
106;0.036497;36.717114
107;0.029527;37.082085
108;0.068436;37.377358
109;0.049815;38.061719
110;0.028470;38.559871
111;0.008241;38.844567
112;0.037080;38.926979
113;0.042179;39.297780
114;0.051081;39.719568
115;0.028033;40.230379
116;0.068428;40.510708
117;0.047754;41.194989
118;0.029269;41.672524
119;0.053447;41.965215
120;0.029203;42.499681
121;0.070212;42.791708
122;0.041360;43.493828
123;0.039377;43.907424
124;0.036269;44.301196
125;0.027995;44.663883
126;0.026490;44.943835
127;0.033054;45.208740
128;0.065035;45.539279
129;0.039707;46.189627
130;0.038669;46.586701
131;0.046872;46.973388
